Comment,Designator,Footprint,LCSC Part #,Quantity,Manufacturer Part Number,Assembly
100uF 35V RVE100UF35V67RV0072,C1,RVE100UF35V67RV0072 (SMT; 2 SMT pads; 0 PTH),C2836437,1,RVE100UF35V67RV0072,SMT
100nF 50V CC0603KRX7R9BB104,"C2,C5",CC0603KRX7R9BB104 (SMT; 2 SMT pads; 0 PTH),C14663,2,CC0603KRX7R9BB104,SMT
2.2uF 25V GRM188Z71E225KE43D,C3,GRM188Z71E225KE43D (SMT; 2 SMT pads; 0 PTH),C415535,1,GRM188Z71E225KE43D,SMT
100uF 25V RVT1E101M0607,C4,RVT1E101M0607 (SMT; 2 SMT pads; 0 PTH),C72477,1,RVT1E101M0607,SMT
1nF 50V GRM1885C1H102JA01D,C6,GRM1885C1H102JA01D (SMT; 2 SMT pads; 0 PTH),C77026,1,GRM1885C1H102JA01D,SMT
SMBJ15A,D1,SMBJ15A (SMT; 2 SMT pads; 0 PTH),C83846,1,SMBJ15A,SMT
SMBJ13A,D2,SMBJ13A (SMT; 2 SMT pads; 0 PTH),C19077567,1,SMBJ13A,SMT
PESD5V0H1BSF,"D3,D4,D5,D6",PESD5V0H1BSF (SMT; 2 SMT pads; 0 PTH),C477989,4,PESD5V0H1BSF,SMT
2A / 250V SCT1032T2A250V,F1,SCT1032T2A250V (SMT; 2 SMT pads; 0 PTH),C19712562,1,SCT1032T2A250V,SMT
2Ω FRC0603F2R00TS,R1,FRC0603F2R00TS (SMT; 2 SMT pads; 0 PTH),C2933191,1,FRC0603F2R00TS,SMT
0Ω 0603WAF0000T5E,R2,0603WAF0000T5E (SMT; 2 SMT pads; 0 PTH),C21189,1,0603WAF0000T5E,SMT
1MΩ 1206W4F1004T5E,"R3,R4",1206W4F1004T5E (SMT; 2 SMT pads; 0 PTH),C17927,2,1206W4F1004T5E,SMT
IP6520,U2,IP6520 (SMT; 9 SMT pads; 0 PTH),C7433861,1,IP6520,SMT
