Designator,Pin,Name,Aliases,Net,Status,Pad X,Pad Y,Layers
C1,2,pin2,pin2;neg;2,GND,connected,28.669921,0.000000,top
C1,1,pin1,pin1;pos;1,VIN_15V,connected,23.330079,0.000000,top
C2,1,pin1,pin1;anode;pos;1;left,VIN_15V,connected,23.175000,8.000000,top
C2,2,pin2,pin2;cathode;neg;2;right,GND,connected,24.825000,8.000000,top
C3,1,pin1,pin1;anode;pos;1;left,BST,connected,27.175000,14.000000,top
C3,2,pin2,pin2;cathode;neg;2;right,SW,connected,28.825000,14.000000,top
C4,2,pin2,pin2;neg;2,GND,connected,37.329952,-10.000000,top
C4,1,pin1,pin1;pos;1,VBUS_OUT,connected,42.670048,-10.000000,top
C5,1,pin1,pin1;anode;pos;1;left,VBUS_OUT,connected,48.175000,8.000000,top
C5,2,pin2,pin2;cathode;neg;2;right,GND,connected,49.825000,8.000000,top
C6,1,pin1,pin1;anode;pos;1;left,SNUB,connected,30.175000,17.000000,top
C6,2,pin2,pin2;cathode;neg;2;right,GND,connected,31.825000,17.000000,top
C7,1,pin1,pin1;1,AC_L_FILTERED,connected,-12.500112,-16.000000,top;bottom
C7,2,pin2,pin2;2,AC_N_FILTERED,connected,2.500112,-16.000000,top;bottom
D1,2,pin2,pin2;2;A;ANODE,GND,connected,27.000000,-11.639324,top
D1,1,pin1,pin1;1;C;K;CATHODE,VIN_15V,connected,27.000000,-16.360676,top
D2,2,pin2,pin2;A;2,GND,connected,46.000000,-17.408692,top
D2,1,pin1,pin1;C;1,VBUS_OUT,connected,46.000000,-22.591308,top
D3,1,pin1,pin1;1,CC1,connected,47.500000,-9.025044,top
D3,2,pin2,pin2;2,GND,connected,47.500000,-8.574956,top
D4,1,pin1,pin1;1,CC2,connected,46.500000,-10.425044,top
D4,2,pin2,pin2;2,GND,connected,46.500000,-9.974956,top
D5,1,pin1,pin1;1,USB_DP,connected,47.500000,-6.225044,top
D5,2,pin2,pin2;2,GND,connected,47.500000,-5.774956,top
D6,1,pin1,pin1;1,USB_DM,connected,47.500000,-7.625044,top
D6,2,pin2,pin2;2,GND,connected,47.500000,-7.174956,top
F1,1,pin1,pin1;1,AC_L,connected,-47.000000,-17.649965,top
F1,2,pin2,pin2;2,AC_L_FUSED,connected,-47.000000,-8.350035,top
J1,1,VIN_POS,VIN_POS;L;LINE;pin1;1,AC_L,connected,-49.000000,-2.540000,top;bottom
J1,2,GND,GND;N;NEUTRAL;pin2;2,AC_N,connected,-49.000000,2.540000,top;bottom
J2,1,EH2,EH2;SH1;pin1;1,USB_SHIELD,connected,49.594307,4.325112,top;bottom
J2,2,EH1,EH1;SH2;pin2;2,USB_SHIELD,connected,53.774131,4.325112,top;bottom
J2,3,EH4,EH4;SH3;pin3;3,USB_SHIELD,connected,53.774131,-4.325112,top;bottom
J2,4,EH3,EH3;SH4;pin4;4,USB_SHIELD,connected,49.594307,-4.325112,top;bottom
J2,5,B8,B8;SBU2;pin5;5,NC,intentional-no-connect,48.825957,-1.750060,top
J2,6,A5,A5;CC1;pin6;6,CC1,connected,48.825957,-1.249934,top
J2,7,B7,B7;DN2;pin7;7,USB_DM,connected,48.825957,-0.750062,top
J2,8,A6,A6;DP1;pin8;8,USB_DP,connected,48.825957,-0.249936,top
J2,9,A7,A7;DN1;pin9;9,USB_DM,connected,48.825957,0.249936,top
J2,10,B6,B6;DP2;pin10;10,USB_DP,connected,48.825957,0.750062,top
J2,11,A8,A8;SBU1;pin11;11,NC,intentional-no-connect,48.825957,1.249680,top
J2,12,B5,B5;CC2;pin12;12,CC2,connected,48.825957,1.750060,top
J2,13,A1B12,A1B12;GND1;pin13;13,GND,connected,48.825957,-3.199955,top
J2,14,B1A12,B1A12;GND2;pin14;14,GND,connected,48.825855,3.200006,top
J2,15,B4A9,B4A9;VBUS1;pin15;15,VBUS_OUT,connected,48.825855,2.400160,top
J2,16,A4B9,A4B9;VBUS2;pin16;16,VBUS_OUT,connected,48.826020,-2.399957,top
L1,1,pin1,pin1;anode;pos;left;1,SW,connected,36.000009,8.000000,top;bottom
L1,2,pin2,pin2;cathode;neg;right;2,VBUS_OUT,connected,44.999991,8.000000,top;bottom
LCM1,1,pin1,pin1;1,AC_L_LIMITED,connected,-26.936492,-12.563380,top;bottom
LCM1,2,pin2,pin2;2,AC_L_FILTERED,connected,-18.936508,-12.563380,top;bottom
LCM1,3,pin3,pin3;3,AC_N_FILTERED,connected,-18.936508,-19.563366,top;bottom
LCM1,4,pin4,pin4;4,AC_N,connected,-26.936492,-19.563366,top;bottom
R1,1,pin1,pin1;anode;pos;left;1,SW,connected,30.175000,14.000000,top
R1,2,pin2,pin2;cathode;neg;right;2,SNUB,connected,31.825000,14.000000,top
R2,1,pin1,pin1;anode;pos;left;1,USB_SHIELD,connected,50.175000,-15.000000,top
R2,2,pin2,pin2;cathode;neg;right;2,GND,connected,51.825000,-15.000000,top
R3,1,pin1,pin1;anode;pos;left;1,AC_L_FILTERED,connected,-9.462500,-21.000000,top
R3,2,pin2,pin2;cathode;neg;right;2,X_CAP_BLEED_MID,connected,-6.537500,-21.000000,top
R4,1,pin1,pin1;anode;pos;left;1,X_CAP_BLEED_MID,connected,-3.462500,-21.000000,top
R4,2,pin2,pin2;cathode;neg;right;2,AC_N_FILTERED,connected,-0.537500,-21.000000,top
RV1,1,pin1,pin1;1,AC_L_FUSED,connected,-37.750056,-24.300104,top;bottom
RV1,2,pin2,pin2;2,AC_N,connected,-30.249944,-26.699896,top;bottom
TH1,1,pin1,pin1;1,AC_L_FUSED,connected,-40.749040,-10.249942,top;bottom
TH1,2,pin2,pin2;2,AC_L_LIMITED,connected,-33.250960,-15.750058,top;bottom
TP1,1,pin1,pin1;1,VIN_15V,connected,25.000000,-21.000000,top
TP2,1,pin1,pin1;1,GND,connected,29.000000,-24.000000,top
TP3,1,pin1,pin1;1,VBUS_OUT,connected,33.000000,-24.000000,top
U1,1,AC2,AC2;AC_N;N;pin1;1,AC_N_FILTERED,connected,-33.500076,15.499864,top;bottom
U1,2,AC1,AC1;AC_L;L;pin2;2,AC_L_FILTERED,connected,-33.500076,6.499882,top;bottom
U1,3,VNEG,VNEG;GND;pin3;3,GND,connected,17.500076,24.500100,top;bottom
U1,4,VPOS,VPOS;VOUT_15V;pin4;4,VIN_15V,connected,17.500076,-2.500100,top;bottom
U2,1,VOUT,VOUT;pin1;1,VBUS_OUT,connected,31.905000,10.682494,top
U2,2,VIN,VIN;pin2;2,VIN_15V,connected,30.635000,10.682494,top
U2,3,SW,SW;pin3;3,SW,connected,29.365000,10.682494,top
U2,4,BST,BST;pin4;4,BST,connected,28.095000,10.682494,top
U2,5,DM,DM;pin5;5,USB_DM,connected,28.095000,5.317506,top
U2,6,DP,DP;pin6;6,USB_DP,connected,29.365000,5.317506,top
U2,7,CC1,CC1;pin7;7,CC1,connected,30.635000,5.317506,top
U2,8,CC2,CC2;pin8;8,CC2,connected,31.905000,5.317506,top
U2,9,GND,GND;pin9;9,GND,connected,30.000000,8.000000,top
